Nom,Description,Categories,Genres,Mots-cles
Routes de Rome,"Avancez dans les territoires inconnus pleins de secrets et de dangers. Élargissez le célèbre réseau routier aux coins éloignés de l'Empire romain puissant dans ce mélange de stratégie décontractée, de sim et de genres de gestion du temps! Suivez l'histoire d'amour romantique, prenez des tâches difficiles définies par le sage César, explorez les terres barbares, gagnez la reconnaissance et obtenez la victoire. Victorius, un brave général romain, tombe amoureux de la fille de César et veut l'épouser. Cependant, puisque César a une vision assez différente de l'avenir de sa fille, il envoie Victorius miles loin pour construire un large réseau de routes à travers les terres barbares, trouver de nouvelles villes et étendre l'influence et le pouvoir romains. Victorius n'a pas d'autre choix que de faire de son mieux et de réussir, afin que César le laisse épouser sa fille. CARACTÉRISTIQUES: - contrôles intuitifs - beaux graphismes et animations HD - effets sonores réalistes - 4 mini-jeux à débloquer - histoire d'amour romantique! Apportez l'esprit et la culture romains aux barbares, construisez les routes de Rome et prouvez que vous êtes le meilleur légionnaire romain de tout l'empire ! Préparez-vous et partez en voyage plein d'aventures ! Voici ce que disent les plus grands critiques sur Roads of Rome: - 148apps.com Les graphismes sont vraiment magnifiques. - câblé.com Caractères détaillés et sens général du poli - touchgen.net Et voici nos réalisations sur l'App Store jusqu'ici: En vedette dans les catégories Nouvelles et notables, Quoi de chaud et ce que nous sommes en train de jouer. #1 Jeu de stratégie dans 33 pays sur l'App Store Attrapez-le pendant que vous le pouvez, et parlez à vos amis! Suivez-nous sur:",Joueur unique,"Aventure, Casual, Simulation, Stratégie","Casual,Stratégie,Aventure,Simulation,Gestion du temps,Gestion des ressources"
Le Narrateur est un DICK,"Le Narrateur est un ♥♥♥♥ est une plate-forme de narration parody difficile. Dans ce jeu, le narrateur essaie toujours de te faire chier, ou il l'est ? Il ment, triche et raconte des blagues et c'est à vous comme le Joueur de survivre dans cette terre déjà dangereuse tout le temps qu'une voix d'en haut essaie de tout gâcher... Quelle ♥♥♥♥! Caractéristiques principales : Comedy Based Challenging 2D Platformer Completement rapporté Une Cavalcade de personnages fous pièges, pièges, et morts injustes Galore. Complet Controller Support Steam Succès Steam Trading Cards","Un seul joueur, Succès d'équipe, Prise en charge complète du contrôleur,Steam Trading Cards","Aventure, indie","Precision Platformer,Difficile,Platformer,Female Protagonist,2D,Funny,Parody,Psychologique Horreur,Narration Dynamique,Narration,Cartoony,Pixel Graphics,Lovecraftian,Ninja,Comedy,Survival,Adventure,Memes,Retro,Singleplayer"
Front : Front Ouest,"Jeu de stratégie de la 2ème Guerre mondiale qui vous place au commandement des forces alliées ou de la Wehrmacht allemande dans une lutte épique pour le contrôle de l'Europe occidentale. De l'Italie à la Normandie, combattez-vous à travers de nombreuses batailles épiques - visez vos cibles avec soin, contre-attaquez et coordonnez stratégiquement vos escouades. L'étude des tactiques ennemies et l'utilisation des capacités spéciales mèneront à la victoire ! 'Frontline: Western Front' est un jeu de stratégie basé sur l'hexagone avec de véritables unités historiques, cartes, pays et villes. Dans ce jeu de mini-guerre, vous pouvez conduire votre armée à la victoire en conquérant des objectifs dans toute stratégie que vous trouvez le mieux. Les unités améliorent et débloquent de nouveaux comportements une fois qu'elles obtiennent l'expérience nécessaire, capacités qui se révéleront indispensables dans la bataille: Camouflage, Sabotage, Over-watch, Fumée, grenades AT, Barrage d'artillerie, Shell Shock, Transport, Panzers spéciaux, APCR, Supprimé, Routed, M.I.A, K.I.A, Charge d'infanterie. Planifiez votre stratégie et commandez votre force militaire à la victoire dans ce monde en guerre. CARACTÉRISTIQUES: -Armure de masse: 100 + unités uniques - 15 Campagnes et scénarios de bac à sable difficiles - Débarquements alliés: Sicile, Cassino, Jour J, Anzio, Caen Level up & Active capacities Level; Plans topographiques Réalistes Les batailles historiques Les renforts Les contrôles de la zone Les graphiques HD Pas de SDA ou IAP Localisation: En, De, Ru, it, Fr, Jp, SP, Por, Ro *'Cher joueur, je suis une équipe d'un seul homme, qui s'efforce d'apporter des jeux de stratégie Old-School avec lesquels la plupart d'entre nous ont grandi. Je réponds à tous les emails et commentaires, merci de prendre le temps et s'il vous plaît noter le jeu' - Ionut Georgescu",Joueur unique,"Indie, Simulation, Stratégie","Stratégie,Simulation,Indie,World War II,Tactics,Turn-Based,Wargame,Tanks,Turn-Based Strategy,Grand Strategy,Historique,Militaire,Tabletop,Difficile,Sandbox,War,Action,Hex Grid,Singleplayer,Tactique"
Guerre cachée dans le désert 3D,"Trouvez les objets cachés sur la carte. Le jeu est un jeu d'objets cachés. Dans lequel vous devez trouver des objets avec un certain design dans de beaux endroits, et cliquez sur eux avec la souris. Le jeu est un jeu de niveau 3D dans lequel les objets et les personnages sont gelés dans l'image, vous devez trouver 20 objets différents. Le système détermine automatiquement quel objet vous devez trouver en ce moment, de sorte que le jeu a une valeur de replay élevée, vous devrez rechercher des objets différents à chaque fois.","Un seul joueur, Succès d'équipe, Panneaux de tête à vapeur","Action, Casual, Indie, Simulation, Stratégie","Shooter on-Rails,Side Scroller,2D Platformer,3D Platformer,Immersive Sim,Top-Down Shooter,Hack et Slash,Hidden Object,MOBA,RTS,Action RPG,Arcade,Strategy,Action-Adventure,Caracter Customization,Female Protagonist,Bâtiment,Craft,Physique,War"
L'art du meurtre - Secrets mortels,"The Heist of the Century Causes Murder & Mystère pour le FBI! New York City a été frappée par une série de meurtres et le compte de corps s'accumule. Pour l'agent du FBI Nicole Bonnet, trouver une piste devient impossible, car il semble que les victimes sont tous des antiquaires et des collectionneurs et n'ont aucun lien entre eux. Cependant, lorsqu'un travailleur du métro à la retraite est tué, l'enquête prend un tour intéressant. Il semble que ces meurtres soient en quelque sorte liés à ce que l'on appelle aujourd'hui le crime du siècle – un vol bancaire où le butin n'a jamais été récupéré. Le temps est court, devenir Nicole Bonnet, une jeune femme agent du FBI et faire le lien avant qu'une autre personne tombe victime. - Point classique et cliquez sur jeu d'aventure. - Un complot fascinant et convaincant rempli de nombreux rebondissements. - La musique spécialement conçue crée un air de mystère et d'intrigue.",Joueur unique,Aventure,"Aventure, objet caché"
Destruction massive,"Mass Destruction est un jeu de tir de chars basé sur la mission. Sautez dans l'un des trois chars chacun avec ses propres forces et faiblesses et prenez 24 missions différentes, chacune avec son propre ensemble d'objectifs. Vous devez compléter tous les objectifs primaires et secondaires et vous rendre dans la zone d'extraction pour qu'une mission se termine avec succès. Au cours du jeu, vous pouvez ramasser des tonnes d'armes différentes et détruire n'importe quoi dans votre chemin. Vous rencontrerez une multitude apparemment infinie de chars, d'hélicoptères, d'infanterie, de lance-flammes, de bâtiments, de bunkers et de tourelles de canon. Les joueurs peuvent aussi s'attendre à de grands patrons et à des jeux de tir frénétiques basés sur l'arcade. Presque tous les objets de l'écran peuvent être explosés, donc les fans de tireurs seront dans le paradis de la destruction.","Un seul joueur, contrôleur partiel Appui",Décision,Mesures à prendre
Le goût du pouvoir,"Taste of Power est un jeu de stratégie en temps réel mis en alternance dans les temps médiévaux, où vous vous battez pour l'une des 3 factions – l'Europe, la Chine ou le Moyen-Orient. Dans notre version de l'histoire, les nations se heurtent à la domination mondiale. Le continent est un champ de bataille épique, vous devrez donc construire des villes, recruter des troupes, étudier de nouvelles technologies et éliminer vos adversaires. Votre nation a besoin d'un bon commandant ! Nouvelle guerre médiévale Les tactiques sont essentielles dans le goût du pouvoir. Le nombre des troupes de vos ennemis ne signifie pas grand chose si vous les rencontrez avec une bonne batterie d'artillerie. La puissance d'ingénierie n'a pas de limites ici, car vous pouvez construire des défenses mobiles pour protéger les positions stratégiques. Construisez des tunnels souterrains pour déplacer vos forces à travers les lignes de combat plus rapidement et surprenez votre adversaire! Chaque nation a un ensemble unique d'unités. Le goût du pouvoir offre un style de jeu radicalement différent pour chaque faction. Les troupes européennes Les chevaliers européens peuvent former différentes formations défensives, comme le phalanx ou les murs de lance. Des ennuis dans la bataille ? Invoquez les croisés et écrasez vos ennemis ! Avoir des problèmes avec la discipline et le moral de votre armée ? Commandez à vos moines d'encourager votre armée avec la Parole de Dieu. Vous pouvez également utiliser la poudre à canon et faire une différence de cette façon. C'est à vous de décider ! Les guerriers du Moyen-Orient Les grands guerriers, les Timurides, peuvent utiliser des éléphants pour aider leur cause. Commandez-en un pour écraser ceux autour, ou obtenir l'aide de chars avec des huiles incendiaires pour brûler vos ennemis. Leurs ingénieurs maîtrisent les techniques de creusement de la terre – une attaque furtive à travers un tunnel souterrain sera sûrement mortelle. Encore une fois, les coups de feu sont essentiels et essentiels dans le jeu. Héros chinois Contrairement aux Européens et aux Timurides, les Chinois ont d'autres moyens d'utiliser la poudre. Utilisez des écrans de fumée pour protéger votre armée des flèches, lancer des grenades empoisonnées et éclater des missiles de faible technologie – faire du champ de bataille un enfer vivant pour vos ennemis! Après cela, vous pouvez appeler vos cavaliers à mettre fin à leur souffrance. Vous pouvez également mettre des pièges pour l'ennemi et les tentes médicales pour vous-même. L'économie du jeu est similaire aux chefs-d'œuvre stratégiques. Vous utilisez les travailleurs pour collecter des ressources et créer des biens différents. La phase de construction est simplifiée, donc vous pourriez vous concentrer sur la grande stratégie. Les technologies d'apprentissage sont importantes – n'oubliez pas de suivre votre infrastructure! De plus, vous pouvez faire du commerce avec des caravanes entrantes, ou simplement les piller pour des marchandises. La décision est à vous ! Taste of Power est un jeu qui défie vos compétences stratégiques. Serez-vous en mesure de prendre les bonnes décisions dans un délai limité? Prouvez-vous en battant l'IA brutale et sentez le goût du pouvoir!","Un seul joueur, multijoueur,Steam Réalisations",Stratégie,"Stratégie,RTS,Bâtiment de base,Médiéval,Accès précoce,Histoire alternative,Historique"
Roller Coaster Apocalypse VR,"Trois rollers Trois expériences différentes pour VR - Virtual Reality Interactive Roller Coaster pour jouer avec VR Touch Motion Controller -Apocalypse Destruction Lors de ce tour vous vous sentez à l'intérieur de l'apocalypse Les astéroïdes vont détruire tout Même les montagnes russes que vous êtes peuvent être détruits Feel different Sensations - Apocalypse Shoot the Astéroïdes Interactive Roller Coaster ride at apocalypse environment Ici vous pouvez tirer et détruire les astéroïdes, avec un laser puissant Vous pouvez monter et faire un nouveau score à chaque nouvelle course. Avant l'Apocalypse Ici vous pouvez profiter d'un tour lent sans boucles à une journée ensoleillée A cette expérience il n'y a pas d'apocalypse Roller Coaster dans l'environnement Immersive Apocalypse Vous pouvez monter et sentir l'environnement de l'Apocalypse Cette application nécessite un casque de réalité virtuelle",Joueur unique,"Action, Aventure, Indie, Simulation","Aventure, Indie, Simulation, Action,VR,VR Seulement"
Une aventure basée sur le texte dyslexique familiale,"Ce jeu a été créé pour aider les autres à ressentir la frustration d'avoir une dyslexie. Tu joues comme un petit renard une histoire de conte de fées avec des rois, des reines et des sorcières. Ce jeu est une aventure basée sur le texte créée dans l'intention de permettre à l'utilisateur de vivre la frustration d'être dyslexique. Les phrases et les mots sont intentionnellement difficiles à lire à travers des règles différentes de la façon dont ils sont construits le changement avec chaque chapitre, allant d'un fond scintillement, lettres épouvantables et PQBS est échangé autour. Les choix doivent être faits rapidement, ce qui entraîne encore plus de frustration. Tout comme un livre, vous pouvez sauter à la fin de ce jeu pensé le chapitre sélectionner le menu, mais ceci est censé simuler le fait que vous pouvez le faire, mais ne obtenez aucune satisfaction de le faire. Vous pouvez relire les chapitres pour voir si vous pouvez obtenir un meilleur résultat. Il ya un tas d'options pour essayer de rendre le jeu plus facile à jouer basé sur les conceptions communes des gens sur ce qui corrige la dyslexie. Il y a une option pour ajouter une superposition de couleur et enlever le clignotant dans une tentative de lutte contre 'Syndrome de Sensibilité Scotopique/Syndrome d'Irlen'. Et il y a une option pour changer la police en Open Dyslexic qui, à mon avis, est plus difficile à lire. Il ya des options qui vous permettent de jouer le jeu en mode non-dyslexique si vous voulez, mais où le plaisir dans cela. Le jeu comprend une gamme de paramètres d'accessibilité. Superpositions de couleurs Page Flicker Off Ouvrir la police Dyslexia Texte vers le discours Nous ne prétendons pas être comme ce qu'une personne dyslexique voit, mais simplement une simulation de la frustration. Avis de John Walker: -treasure.org/2019/11/19/a-familiar-fairytale/?fbclid=IwAR0yg4mFoclDV89ZTHamhMm2kV1MoiFitAAgzyNXuV-2qR2DjNyw1FVl5_U",Joueur unique,"Aventure, Casual, Indie, Simulation","Aventure, Indie, Casual, Simulation, Text-Based"
Slinger VR,"Sentez la vitesse et le goût de la liberté en volant dans de vastes espaces en utilisant une paire de vos appareils WHSK-03 fiables. Attachez-vous aux murs voisins avec des crochets d'énergie, et à d'autres avec des cordes élastiques. Obtenez des pièces jointes pour vos appareils qui vous permettront d'utiliser... Ah oui... un moteur de rappel d'urgence, et même ralentir le débit du temps. À chaque niveau, vous n'aurez qu'un seul objectif : localiser et sauter à travers le portail. S'il n'est pas opérationnel, recherchez et activez tous les émetteurs nécessaires pour alimenter le corridor extradimensionnel qui vous mènera à l'étape suivante. Sur votre chemin, vous devez affronter une variété d'ennemis. Ils veulent vous étouffer... ou vous tirer dessus... ou dévorer votre corps après l'avoir miné avec des lames concentriques rasées qui tournent dans d'autres directions. Vous voulez juste les jeter dans l'abîme avec la grâce et le flair appropriés ou peut-être les faire sauter avec une fusée si vous êtes chanceux d'obtenir une prise d'un.",Joueur unique,"Action, Casual, Indie, Simulation","Action,Casual,Indie,Simulation,VR,Sci-fi,Singleplayer,Adventure,First-Person, Atmospheric,3D,Replay Value,Sandbox,Relaxing,Great Soundtrack,Modern"
